ID,Experimental (Koc),BalabanJ,AMID,ATSC2s,nAromAtom,ATSC0pe,ETA_shape_x,fMF,FilterItLogS,ATS8se,ATSC0dv,nBondsD,NddsN,SMR,TIC1,NdO,nP,TpiPC10,SLogP,BCUTs-1h,ATSC1are,EState_VSA7,NdS,ATS5s,nG12FRing,piPC8,ZMIC1
420,0,1.6904,2.0187,-2.0219,12,3.794,0.0558,0.4571,-3.3147,272.0072,131.5429,0,0,70.7488,121.8734,0,0,7.7833,2.1311,6.0026,-0.1466,24.2655,0,245.9583,0,6.0105,33.3404
421,1,1.9633,2.0219,-1.8151,12,1.6107,0,0.5455,-4.9426,41.1091,58.716,0,0,61.898,44.1075,0,0,7.6622,4.6604,2.2685,0.0063,48.5309,0,77.6257,0,5.9013,47.96
423,0,1.6249,1.9863,10.6389,6,2.5251,0,0.48,-2.2889,188.631,84.56,1,0,51.6184,77.2675,1,0,6.3062,1.9705,7.0083,-0.2054,30.3318,0,130.1667,0,4.3718,30.0867
425,0,3.8351,1.8784,1.3076,0,3.2078,0.1364,0,-3.0518,432.867,73.6034,1,0,64.7305,68.5345,1,1,4.6444,4.4174,7.0066,-0.9035,6.9237,0,148.9444,0,0.6931,34.0284
427,1,2.3296,1.9375,4.7826,6,3.8265,0,0.24,-3.2554,196.3486,110.4869,1,0,62.9427,91.0769,1,0,6.5351,3.1276,7.0083,0.3058,0,0,139.5406,0,4.6492,32.778
428,1,1.6973,1.9994,28.1373,12,5.579,0,0.3947,-3.949,410.658,169.0526,2,0,83.2954,125.9115,2,0,7.5535,3.7842,7.0094,-0.3802,25.1228,0,275,0,5.7611,47.069
429,0,2.4637,1.9361,41.7146,6,6.0844,0.1864,0.1667,-3.1077,491.2699,163.8669,3,0,77.7168,114.0116,2,1,7.1306,2.7664,7.0142,-1.3861,0,1,217.8328,0,5.4972,40.217
430,1,1.9001,2.0019,2.6449,10,3.7674,0,0.2439,-4.0589,505.7165,144.0976,1,0,81.966,118.2988,1,0,8.136,3.4755,7.0083,0.203,63.2358,0,277.9444,0,6.4518,44.1731
433,0,2.8595,1.9523,-0.4056,6,4.1997,0,0.1579,-4.3664,452.3895,131.4984,1,0,75.28,114.4246,1,0,6.9356,2.9871,7.0083,0.1746,18.1991,0,280.2202,0,4.8875,32.6144
434,0,3.1682,1.8484,18.9626,0,3.2651,0,0,-0.9765,123.3274,95.0889,2,0,42.1647,57.9092,1,0,4.5326,1.0388,7.0083,0.3884,6.2558,0,66.9907,0,0,21.305
435,1,1.9894,2.0022,22.3963,9,5.4702,0,0.2308,-3.2041,555.839,171.8974,2,0,79.4654,141.1111,2,0,8.2981,2.5724,7.0094,-0.3266,19.0565,0,275.25,0,6.7174,33.6904
437,1,1.9007,2.0083,4.1286,9,2.7788,0,0.3462,-2.4833,175.5051,105.7094,1,0,62.4787,88.7017,1,0,7.8371,2.0719,7.0083,-0.1006,24.2655,0,107.2593,0,6.3349,30.6326
439,0,1.6571,2.0279,13.1508,6,3.011,0,0.4324,-3.4152,389.7111,104.9189,1,0,70.0864,103.915,1,0,6.5301,3.5309,7.0083,-0.0933,30.3318,0,211.3333,0,4.5558,41.958
440,0,2.3427,1.9394,6.0821,6,3.9793,0,0.2143,-2.8059,217.4404,119.1111,1,0,60.7097,94.5668,1,0,6.5864,2.4421,7.0083,-0.1206,0,0,131.1656,0,4.815,28.6426
442,0,2.3092,1.947,6.4565,6,3.7748,0,0.24,-3.1335,148.3478,106.2963,1,0,56.0824,89.0769,1,0,6.4874,2.0999,7.0083,-0.3643,0,0,121.999,0,4.6679,26.6738
