ID,NddsN,nP,TpiPC10,SLogP,BCUTs-1h,NdS,ATS5s,nG12FRing,ZMIC1,Experimental
277,1,0,6.4162,0.6937,8.0019,0,286.6667,0,27.1793,1.45
278,2,0,6.9147,1.2012,8.003,0,387.4444,0,35.143,2.3
280,0,0,5.8333,1.0462,7.0083,0,71.6667,0,26.6024,1.68
281,0,0,6.0604,2.4075,7.0083,0,80.8148,0,31.2805,2
282,2,0,6.5269,1.0852,8.003,0,248,0,35.3302,2.55
283,0,0,5.8985,1.0939,7.0083,0,68.6667,0,23.9155,1.78
285,0,0,5.607,2.5756,4.0052,0,16.0741,0,32.7866,2.49
286,0,0,6.9757,3.6966,7.0094,0,301.2964,0,64.7913,3.3
287,0,0,5.8307,4.3002,2.2008,0,4.5022,0,54.6371,3.84
289,0,0,5.8254,4.3002,2.1575,0,4.5022,0,54.6371,3.2
290,0,0,9.5898,2.3714,7.0083,0,286.9444,1,42.4464,2.1
291,0,0,6.8139,1.7856,8.0061,0,471.2593,0,51.9144,1.46
292,0,0,6.0604,1.3163,8.0019,0,172.5,0,26.1457,1.32
293,0,0,6.0326,1.3163,8.0019,0,105.7778,0,26.1457,1.52
294,0,0,3.7842,0.8747,7.0083,0,102,0,18.9691,1.84
295,0,0,5.8254,2.3175,6.0028,0,100,0,26.3022,3.61
296,0,0,6.3362,3.3419,7.0083,0,88.5761,0,33.2352,2.17
297,0,1,7.4138,2.4906,7.0094,1,153.9835,0,41.6439,2.91
298,0,1,6.7021,3.7726,7.0142,1,279.5578,0,47.8883,3
299,0,0,4.4998,2.9815,7.0083,0,157.6852,0,27.0882,2.38
300,0,0,9.1107,4.3014,2.2745,0,130,1,46.2493,4.81
301,0,1,6.5744,5.4203,3.5124,1,103.9463,0,40.8154,4.66
303,1,0,6.45,4.2084,8.0019,0,70.7697,0,57.298,4.23
304,0,0,6.6619,2.2357,3.0676,0,160.537,0,36.0343,2.85
305,0,0,6.4929,3.1408,7.0083,0,188.3333,0,38.6953,2.07
306,0,0,5.8254,3.3524,6.0028,0,13.8479,0,43.771,3.61
307,0,0,7.7696,3.4022,2.271,0,76.8333,0,34.786,3.76
309,0,1,6.4968,4.6401,3.5155,1,70.9278,0,39.801,4.67
310,0,0,7.5763,2.9067,7.0083,0,255.3333,0,49.0177,2.32
311,0,0,7.1861,3.6898,7.0067,0,122.915,1,65.8704,4.13
312,0,0,5.9612,1.4379,7.0083,0,92.1667,0,27.4689,1.29
313,0,0,6.4277,1.4571,3.0676,0,119.4074,0,32.382,2.3
